Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Daniel Sedin,20102011,VAN,L,L,82,41,63,104,30,32,1.27,23,62,18,42,0,0,0,10,266,15.4,18:33,23.5
Martin St. Louis,20102011,TBL,L,R,82,31,68,99,0,12,1.21,27,58,4,41,0,0,1,7,254,12.2,20:59,38.2
Corey Perry,20102011,ANA,R,R,82,50,48,98,9,104,1.2,32,62,14,31,4,5,2,11,290,17.2,22:19,40.9
Henrik Sedin,20102011,VAN,L,C,82,19,75,94,26,40,1.15,11,59,8,35,0,0,0,4,157,12.1,19:16,52
Steven Stamkos,20102011,TBL,R,C,82,45,46,91,3,74,1.11,28,55,17,36,0,0,1,8,272,16.5,20:12,46.5
Jarome Iginla,20102011,CGY,R,R,82,43,43,86,0,40,1.05,29,56,14,30,0,0,1,6,289,14.9,20:56,54.1
Alex Ovechkin,20102011,WSH,R,L,79,32,53,85,24,41,1.08,25,61,7,24,0,0,3,11,367,8.7,21:22,33.3
Teemu Selanne,20102011,ANA,R,R,73,31,49,80,6,49,1.1,15,46,16,34,0,0,0,5,213,14.6,17:56,44.5
Henrik Zetterberg,20102011,DET,L,C,80,24,56,80,-1,40,1,14,49,10,30,0,1,2,3,306,7.8,19:35,52.4
Brad Richards,20102011,DAL,L,C,72,28,49,77,1,24,1.07,21,48,7,29,0,0,0,3,272,10.3,21:43,50.6
Jonathan Toews,20102011,CHI,L,C,80,32,44,76,25,26,0.95,21,49,10,25,1,2,1,8,233,13.7,20:46,56.7
Eric Staal,20102011,CAR,L,C,81,33,43,76,-10,72,0.94,18,44,12,29,3,3,0,8,296,11.2,21:56,48
Claude Giroux,20102011,PHI,R,C,82,25,51,76,20,47,0.93,14,50,8,19,3,7,0,5,169,14.8,19:24,50
Ryan Getzlaf,20102011,ANA,R,C,67,19,57,76,14,35,1.13,12,49,7,27,0,0,2,4,117,16.2,21:51,45.8
Patrick Kane,20102011,CHI,L,R,73,27,46,73,7,28,1,22,49,5,24,0,0,0,2,216,12.5,19:17,14.3
Anze Kopitar,20102011,LAK,L,C,75,25,48,73,25,20,0.97,18,54,6,18,1,1,1,6,233,10.7,21:35,49.9
Loui Eriksson,20102011,DAL,L,L,79,27,46,73,10,8,0.92,16,45,10,25,1,3,2,6,179,15.1,20:34,25
